Response ID,Little Oven Pizza,JR Tacos,Sam Cafe,Taste of Little India,Jantz
R_3fVjGc5N08dY9GJ,,,,,
R_3hsvxgEU5EAC2qE,1,,,,
R_2Xap4XsBxRiJ2os,,,,1,
R_1pyt7ALaSlp1qvn,2,1,3,5,4
R_3oSDwnjuDPI48Vf,4,3,1,5,2
R_1gU9k3hCj4aGE4w,1,2,3,5,4
R_1gvIGFayFr7WwU2,2,4,3,5,1
R_3IT6dn7m5ALYC5d,1,3,2,5,4
R_28TlXPi4EugSKPO,5,3,4,2,1
R_2YmQN9VhpjRv8W9,4,2,3,1,5
R_Rgi6HjWaaqQPFst,3,2,1,5,4
R_2QSepnRT15ePzx3,1,,,,
R_1H6rlq3PnYXuTRm,2,3,1,5,4
R_3PzgknRnZp8DPJp,1,,,,
R_1cTzHtv8b6tLoui,2,1,3,4,5
R_1jexexdc05RcNs0,1,3,2,5,4
R_1H2jbpRWhGCdywN,1,3,4,5,2
R_8hKFdJt2nqaF6XT,2,,,1,
R_1N1TSu3Eplw1S7K,,1,,,
R_3Kp8SsecxSWTteF,,,,1,
R_3Rqr7Xgej2Sn43Z,1,3,2,5,4
R_2uD94RBy9LTzn0i,2,1,5,3,4
R_1pXwYOsYI26EaLM,4,5,3,2,1
R_Wqh2k6YLP2mtUWd,1,,,,
R_1QoLuVah6VLcDXY,1,2,4,5,3
R_3HvlADBzQb5qmPD,1,,,,
R_1Ffurmaa56dp31a,,1,,,2
R_3PGHnTmolE6C6ox,,,1,,
R_3Gk4fIKfcoXraOn,1,,,,
R_QbGzCnw3FdqGWBz,1,2,3,5,4
R_A6YJ6j6l7HWYIcV,2,1,5,3,4
R_3F3bZxg3yhwLv0p,1,2,3,4,5
R_27Do1SDeZXgiOth,2,1,3,4,5
R_12yC2GQug1p2fem,,1,,,
R_Z8hgOUSzwXuPKq5,3,5,1,4,2
R_1dLlTe4DrcDv8Gu,1,2,,3,
R_2Bi0Xwpb5Bed51r,2,1,3,,
R_3M0xQUpsP3RwjaO,1,,,,
R_Cmoztk5FB2UgFKF,1,2,3,4,5
R_3HFzpgUGCs16fSE,2,5,3,1,4
R_Ry4mkS4CoWzaRNv,1,3,2,5,4
R_28UQtjXLi8z9PIB,1,2,4,3,5
R_25NS9YPoNowyIHT,1,2,3,5,4
R_1BWtppdz3TIYnhy,1,5,2,4,3
R_2y8c1I95T65RmU6,1,,,,
R_3HT7ieqsRngKeQA,1,3,2,4,5
R_2pSjIri5OrC5GZi,1,2,4,3,5
R_2OZUXzcXuqfUCop,1,5,3,2,4
R_2tzZeHmgSWFNaO6,3,4,2,5,1
R_AtXiCGuc5h4ebT3,4,2,3,5,1
R_3DiIq1Y8AL3Ob6h,2,5,3,1,4
R_27DrQq0W04TTcgg,2,1,3,5,4
R_rfqeCRQCRNLMcﬀ,,,,1,
R_1OxZkPMGoSNfet0,1,3,4,5,2
R_shaqeJZpLazFhu1,1,2,3,5,4
R_DiO3qQRhsb3ukw1,4,1,2,5,3
R_2B4WNPGEUQPqsvr,2,3,4,5,1
R_2DMSArxbwTzmqu0,2,3,1,5,4
R_3OjEzTNccp4I6mZ,3,2,5,4,1
R_4VGqXwUP7wjS3Qd,1,3,,,2
R_2Vei887ONYKC401,,2,1,,
R_2Cqf6WtS5F3q9ba,3,1,2,5,4
R_2zevinWfp3JoBPj,,1,,,
R_1hZjxUKxcpk6zMv,4,1,2,3,5
R_3J33rwRIpjuLQ7q,4,3,1,5,2
R_2YCX8d9Y1mjDO4g,5,3,1,2,4
R_2zcNrXXwYTgJZaD,4,2,1,3,5
R_1P7WInHgcZg7he4,4,1,3,5,2
R_DTYF8OhAChQLaxz,5,2,1,3,4
R_ykgvn58LGCGlSut,4,1,2,3,5
R_2b4diOoD6njLdRb,1,2,4,5,3
R_81dTX5lLtvtRpoR,1,4,5,2,3
R_cwlDnIKOwZfDdpn,1,,,,
R_2U5yUb72XpXFEqq,3,5,1,2,4
R_3f62lEyGyD7TvUd,3,5,2,1,4
R_1hQ00up4wTKGwEt,1,3,5,4,2
R_RlEnRzGDFY7RI77,1,3,4,2,5
R_O1AL9VwvNQbvOvL,1,3,2,5,4
R_UYAJpSuE2pOfqFj,2,1,3,5,4
R_1rMOjZtvwUK6vxW,4,1,3,5,2
R_1DUbUSE60JdFCt4,3,2,5,1,4
R_9XIRS9EauWjdw7T,1,,,,
R_wMlk8APfbmkTjWh,1,5,4,3,2
R_3shT7HKOL4F3jG7,3,2,1,5,4
R_2rUiDxrfgmELxbM,2,5,1,3,4
R_3PMmiXROyHHIkxC,3,1,4,5,2
R_1dFBbYPZiK0A6VV,1,4,5,2,3
R_3HSOT1sNaI36Rsa,4,3,1,5,2
R_3nDb7uYmPUlG0FS,5,2,3,4,1
R_2uvqtTYBDPB4cKK,4,3,2,5,1
R_YWXvj265KwGzACB,3,1,4,5,2
R_3KMGAb6iHVmH05n,1,2,5,4,3
R_25TtfM65lIZcF2k,1,4,5,3,2
R_2aslACZ2LTPllq6,4,5,3,2,1
R_8qpL92ePbEL9fGx,1,3,4,5,2
R_28NvdsHtmv0oyW9,2,3,5,4,1
R_2UYDtHIidSNx8zC,1,,,,
R_1I7bU0k0KD09mzC,,1,,,
R_tRtcyD0P6NM9Ukx,3,1,2,5,4
R_BYCy8h7XL1iVo6B,4,3,1,2,5
R_2vcE39r4Zk9YfNx,2,1,5,3,4
R_rfNYtcucVRLFiAF,,1,,,
R_1jpKXbre7xQ0UxL,1,2,3,5,4
R_2uZBh0HWZzCIwSm,1,5,4,3,2
R_QgdR85W5voaJ2Rr,1,4,5,3,2
R_3GjtdXzQ7MQvG7v,,2,3,1,
R_2cAc3nMpxjV401W,4,3,2,5,1
R_bdBSsCO7mHRnA2J,2,3,4,5,1
R_1oiovhP2hHeDHO8,1,2,4,3,5
R_1lcuSHAaGvP8ksj,,1,,,
R_ZFcvVMdp7Hqt7nH,2,4,1,5,3
R_1rk7Ss4gMNVvVpw,1,5,4,3,2
R_dbNweDgEF8iCLzb,1,2,3,5,4
R_1jZd08ii0xAPzb5,1,3,4,5,2
R_3EfNS1QCHgAJVuA,,1,,,
R_1dviCNwSYdyhcgL,2,1,3,5,4
R_s4DyGOoG9tMvIWd,,1,,,
R_2PCnuz16XbOYbXF,1,2,5,3,4
R_1jZnvg8OtUUDKwm,1,3,2,,
R_PM1ExKATOpZVsgV,,,,,1
R_1ePhdZ2783GEIum,1,3,4,2,5
R_UaQjNdsBWbQaACt,2,1,3,,
R_1mzbd8cvaIS3YGh,2,3,5,4,1
R_6yTjwX44FVQCGn7,1,3,4,2,5
R_1mxsMSAEfonuc1u,4,1,2,3,5
R_1obzkH497QHxdbz,,1,,,
R_1jAOalm6q5wHj1J,2,4,3,1,5
R_3p9XYsALeJHLkf8,4,2,3,1,5
R_4SckvJnTV6b6MSt,1,5,4,2,3
R_3FWJW4b7YwnoyVB,5,4,3,2,1
R_1JQu6oFOD4fKIi0,1,,,,
R_24zV35dpCoRcXbJ,1,3,5,4,2
R_6PZHzHXXopKMW3f,1,,,,
R_3hnKYLa71bGU2lb,1,2,3,5,4
R_1dsshjZLL0nBVvM,4,1,2,3,5
R_PSgbZB1sVgePzi1,1,2,3,5,4
R_3lrbtioRqPmVusy,3,1,5,2,4
R_phKuMOdvgUe3S1j,,3,1,,2
R_3kAtH0mikMCgo27,,3,1,,2
R_3mjBko6FbLyXYJc,4,3,1,2,5
R_1rN5uYoNiJjdXoW,2,3,1,4,5
R_1KiNLdRHEyMUVHT,1,,,,2
R_BxeAzvvZglcZcTT,1,2,3,4,5
R_1CxefBnzVlm2sHe,1,,,,
R_3L4J7x3xfxXeUra,,,1,,
R_6X5IaMXjMMg45gt,5,1,2,4,3
R_3HLdmNMPOPjFxo8,1,3,4,5,2
R_2AYl3YrDTdPGMEK,1,4,3,2,5
R_3fVMwut2h2GqyKu,2,1,4,5,3
R_2WDwH6gAiIEm4pn,3,5,2,1,4
R_9ELiqmEEh8bZQU9,3,1,2,4,5
R_2zBWlADwirHqzrW,,,,1,
R_vVbgak80gDyu9oJ,1,3,2,5,4
R_xxTvHuWMjTm9hOp,3,2,1,,
R_2y4z0vPnooDzORb,1,5,2,3,4
R_bHiQ7pVwgkmIVJD,1,2,4,5,3
R_2ROkGEg8fQpE2SE,3,1,4,5,2
R_2vdgMXkuWKhDo6S,,3,1,,2
R_3MMS2qMdcPQTVtW,,,1,,
R_110nTgkgB8d1AMo,1,2,5,4,3
R_2s53YeGjo7KDkI8,2,1,,,3
R_3QPJ64XrazCVC9N,2,1,,,
R_xgdbTi1BBIrcZwJ,5,2,1,4,3
R_0JwJKnLloYX63N7,2,1,3,5,4
R_1rdHJUsMw8XYoU3,4,1,3,5,2
R_3NDRSU9r8vZKBlp,1,2,4,3,5
R_1nOTKqKXcxxWDyP,5,4,2,3,1
R_3sJ279Ah704BpYJ,5,2,1,4,3
R_3EWgJRAKRSVqG9g,4,1,2,3,5
R_12y8thrKhcWg6RT,1,5,4,3,2
R_UhWG2P0O1fqbgmR,3,1,,2,
R_2rUYpCAW90KSOYZ,1,2,4,3,5
R_22IYEh6n6qTSZxM,5,2,3,1,4
R_1BQsd3ZuZkY7YxG,4,3,1,5,2
R_W0qsMN3DFZHr2XD,3,4,1,5,2
R_1Fg3FuQwM1oaDYk,3,1,2,5,4
R_1Kp5PEwXwbfYStg,2,3,5,4,1
R_11bfbusGe8lfRQF,1,2,4,,3
R_3kdEUoSiX8ejB9P,3,5,1,4,2
R_1lrZFad7PAFrRRS,,1,,,
R_2t9kvyoXTixBZ2F,4,3,5,2,1
R_3KwoSkXEZg4px4R,2,3,4,5,1
R_pJD9jvArXZCsrAJ,,,,1,
R_1GNdNXw92f8jcnq,1,,,,
R_3g6haKgkzD5UOvG,1,2,3,5,4
R_2sNs4Qv50IpSv4t,,,,1,
R_3qJtZZsMp7huF3v,,1,,,
R_3JqIfTFYCQPbV7b,2,1,3,5,4
R_2EFUX1AjlhZ0CTf,2,1,,,3
R_3Vok8mik8y9d1Lz,1,3,2,,
R_3FOjEIO6wor7Zqs,1,2,5,4,3
R_vJIQN9XCAJNr9vP,3,1,2,5,4
R_393pqGtPidEAkKZ,,,,1,
R_ZLdWBSNckfklfz3,,,,,1
R_2sYZCvXb8opa3hY,2,3,,,1
R_3Pl1jjgbSqeuq1r,,,1,,
R_3LhgfTb06Wu2Op7,2,5,3,1,4
R_1rdlZ2fV8F2qW8P,2,1,,,
R_3McIrrHV6qOu8d9,2,1,3,5,4
R_bwS2JkDDkBzvGI9,4,5,2,1,3
R_3MGORStCaZ48ubs,3,2,4,5,1
R_1n9gjTBpBZXYNFG,1,2,3,5,4
R_1GJ1zLdPB6H0UAo,3,4,1,5,2
R_2BnZ7wtv2W0s5YL,1,4,5,2,3
R_bkhH3Fuf9e7KgBX,1,3,2,4,5
R_1MKgI7kVjOrgMf8,,1,,,
R_2CCGHqM07WScA8L,1,,,,
R_1Q6hCY9pvyiATCm,2,1,,,
R_26pEP9BBeqHq23f,1,2,4,5,3
R_vcLUIhRjRqaLzpL,,1,,,
R_3Oc81Rg4gnEDXkQ,1,4,5,3,2
R_2ah0NVzzaA2Bs3O,1,2,4,3,5
R_2w65ftKFDBHjnci,5,3,2,1,4
R_3oXv3P3YsSjS45V,1,2,3,5,4
R_3G98pzqnIUbiEYk,5,4,1,2,3
R_3rNSEMtWLwEHHjy,1,3,2,5,4
R_SCqbfmxo7FgJmRb,3,4,5,1,2
R_3hihUT5CBoQ9Coj,1,3,4,2,5
R_Op8nFt1pMnR1XLX,1,3,2,5,4
R_1FDIpPWXduI7OPG,2,,,1,
R_2czK3LS8z8Sxjuj,,1,,,
R_3qpxuDsWas92fIt,2,3,1,5,4
R_6otb4Xns5kSWziV,2,3,4,1,5
R_3rSYgXyWN1Mkkob,3,1,2,5,4
R_diCOWMP4UTcKH1n,2,1,3,4,5
R_6LNeAZJx7KIhsKB,1,3,2,,
R_2476oAOd5SohBHV,1,3,4,5,2
R_0OlebozyC4wWvjH,1,4,5,2,3
R_2e3bp6P04qmUuQX,3,2,1,5,4
R_yjOSREvXbh7IzzX,1,2,3,5,4
R_Xh73sEaS9ejt1Ul,2,1,4,5,3
R_3PYRQepYKyVuyd4,1,3,2,4,5
R_129lRlfzXuK4tNx,,,1,,
R_11cJwNpBqsoRtDa,3,1,2,4,5
R_3egKUsVZwLEIQgO,2,3,1,5,4
R_1NlX0Rp4y7U5Xjs,3,5,2,4,1
R_1k16wtTQfRQstah,,,1,,
R_2CjExQui6wdvonL,,1,,,
R_3rWufbLg9nWD66t,1,,,,
R_3LhVvQwzxDmS3AB,2,1,3,5,4
R_yl30bpjUnXVO00h,1,,,,
R_1NERqDiOf1ftduM,1,2,4,3,5
R_b71A0kykG72XNrX,,1,,,
R_1LGO5tFrndmvwx4,2,5,4,3,1
R_5o44AdaAuG1ESDn,2,1,3,4,5
R_2Sv02RUJcV7zob1,3,4,1,5,2
R_1jIMSa7PoKsYjkF,,,1,,
R_0lbfuvsobPiO51L,3,5,1,4,2
R_UbyyV1itkjd2xBn,3,1,,,2
R_20TldIV1m0zE2KQ,4,2,5,1,3
R_1OkrbRTwMEINWtp,1,3,2,5,4
R_Tje00t42KtbYodX,1,2,3,4,5
R_3r2J5TwPNOW8Snm,,,,,
R_22y47lVg6uOUM4S,,,,,
R_124pKS4N9hFivtK,,,,,
R_2THnvJmeHqdYWag,,,,,
R_1SlZOMxnmLeSqbf,,,,,
R_10BqOReR1fbqLGQ,,,,,
R_30kjh7MCQrT4501,,,,,
R_1DCEXN9mFIMGF22,,,,,
R_0w7k9XrLpcDDlM5,,,,,
R_3PWVOin0x2EGfTT,,,,,
R_3fAC6jAQwMGMQ7W,,,,,
R_ZjBZdobIdj1hIXf,,,,,
R_2wvHl6cRVu5pPmj,,,,,
R_1IFQ6sb00KBqwiv,,,,,
R_2Y4Bqlb2o3M4aIF,,,,,
R_3h9dc5W4FjeMQTE,,,,,
R_s5JYRCI9mxTWeQx,,,,,
R_10Tbfb4PRuVke1A,,,,,
R_qUCEf2XJI3yN2rD,,,,,
R_1JFJaS0QWh1R8Bn,,,,,
R_1hWIxvP3BVraDDx,,,,,
R_28TVybuD60ACIhv,,,,,
R_3FIElyXtDtdy1U1,,,,,
R_31QM6ZpoabMlsIz,,,,,
R_potLA1nPSwA9KYV,,,,,
R_3D2uhL5w8mwgg8K,,,,,
R_2s1E3gbwN50Yﬁ8,,,,,
R_5cg4TypT0r5G94R,,,,,
R_1il2I4ouRt8tkcy,,,,,
R_T5cqiao2i8g94lj,,,,,
R_1FfxuCPN1VQF9qm,,,,,
R_2tfh9iayM5xVSep,,,,,
R_2UcttM5Vb3QlNqX,,,,,
R_2Vw2UlfBApXNBZI,,,,,
R_32Yh54tKHVJ6gkO,,,,,
R_3fxWacztcbYAb9l,,,,,
